t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,u0,u1,u2,u3,u4,u5
0.02,0.0,-0.11199999999999999,-0.010000000000000009,-0.13951804791783162,0.1395180479178316,-3.1314203936014016,0.0,0.0,0.0,0.0,0.0,0.0,5.1837628809717896e-05,-0.0015,-0.0015,-5.3966754215653545e-05,4.6010726917028675e-05,-0.0006173565872730001
0.04,-1.3113287619156283e-05,-0.11162054723797388,-0.009620547238211818,-0.1395416901601613,0.13814031681415154,-3.119050280171535,0.0006556643809577332,-0.018972638101305776,-0.018972638089411756,-0.053940984735824905,0.045988756492525255,-0.6170617954450677,-9.77491922548885e-05,-0.00010038472626084159,0.0004913734172254764,-1.9323244763656914e-05,2.5892471488870728e-05,-0.0005819610003502602
0.06,-1.3332454734740762e-06,-0.11122049978147147,-0.009370195956847072,-0.13902685679633647,0.1378331509036932,-3.1074071067210793,-0.0005890021072841258,-0.02000237282512076,-0.012517564068238817,-0.01933977496201498,0.025902067597040633,-0.5819777612106141,-9.509153747028642e-05,-0.00018264397266941186,0.0001972952773044881,-1.4859524380977794e-05,2.7063378743760084e-05,-0.000598173470526866
0.08,3.4352962046849816e-05,-0.11077930912211487,-0.009172920717165134,-0.13851364771117566,0.13767112211099775,-3.0954366119041183,-0.0017843103760161881,-0.02205953296782951,-0.009863761984097165,-0.014861663730076202,0.027062824210054934,-0.5981657369692229,-7.04698422042567e-05,-0.0001403532068004622,0.00020272451531331716,-3.247021829534573e-05,5.205965321723995e-05,-0.0005689847326525497
0.1,8.741444607614571e-05,-0.11030819388858093,-0.009029423617050947,-0.13882359856397128,0.13693124264025258,-3.0840002103522615,-0.002653074201464806,-0.023555761676696475,-0.007174855005707191,-0.032461810094810487,0.05204771706710006,-0.5689986667738999,-0.0003368410972926486,-0.00034316163849795213,0.000105931326404459,-3.4582191258571326e-05,2.9051517852961027e-05,-0.0005839467702446286
0.12,0.00022501497570410686,-0.1097562284332339,-0.00891453881913351,-0.13838721662014167,0.13615486973348576,-3.0723185799003545,-0.006880026481398038,-0.027598272767349937,-0.005744239895869336,-0.03458117876262965,0.029062498689225814,-0.5839396324269766,0.0004987591966030832,-0.00011764434773204506,3.884181743797539e-05,1.4910505881826017e-05,3.870900268640388e-05,-0.000571947072947954
0.14,0.00023470470547330355,-0.10918148415665024,-0.008810932889856127,-0.13832132806796527,0.1368804964748796,-3.060829165149908,-0.0004844864884598517,-0.028737213829182078,-0.005180296463869222,0.01488687327712953,0.03870439641734462,-0.5719527994739251,-6.300977587705158e-05,-0.00016478593344880559,0.00010650614598375557,-2.6229816208346295e-05,8.899679495754704e-07,-0.0005971755310119492
0.16,0.00026021136441248954,-0.10857232383844673,-0.008735580113528374,-0.13699677457442222,0.13640046631294295,-3.048942619396571,-0.0012753329469592952,-0.030458015910174836,-0.0037676388163877792,-0.026210182718881973,0.0009080245877000764,-0.597163486991866,2.4097638165697136e-05,-1.0611989776637709e-05,3.0208480411421723e-05,-2.417656421127937e-05,2.794632597185453e-05,-0.0005899964663473082
0.18,0.0002792994607053387,-0.10796818393986429,-0.008668822225627815,-0.13651641671135548,0.13594143782095636,-3.0371380194197615,-0.0009544048146424176,-0.030206994929121066,-0.00333789439502973,-0.02417753527748249,0.027933415005237276,-0.5899998886467704,0.00011570057722585027,0.00026191646497902604,8.225985526230805e-05,-4.2456593372675364e-05,4.04218691481377e-05,-0.0005878974098320901
0.2,0.00026887752023860637,-0.10743794207709173,-0.008623717872985548,-0.1363896298053066,0.1349081108664249,-3.0253575948193876,0.0005210970233366441,-0.02651209313862868,-0.002255217632112467,-0.042447865002297774,0.04041590582920545,-0.5878984137795424,0.00011990856891750508,-0.00012579244526244026,0.00014329921163742855,-2.555255701675581e-05,-1.8192515446525433e-08,-0.0005818957978728593
0.22,0.00022825430913083616,-0.10688258541176693,-0.008615434207388861,-0.13508481732696626,0.13445360100520964,-3.013775567199615,0.002031160555388559,-0.027767833266238866,-0.0004141832798363568,-0.025560624637361494,1.1150322617933806e-06,-0.5818986641614062,-4.3541655519136567e-05,0.00011209308306882131,-0.0001892362088210532,-4.78838371143653e-05,3.088235499486723e-05,-0.0005829369827030327
0.24,0.00019915958531158823,-0.10636260915377738,-0.008559384515948065,-0.1346673649416535,0.13327055422333398,-3.0021177983597895,0.0014547361909623352,-0.025998812899477464,-0.002802484572041666,-0.04787317763369063,0.030867608999821466,-0.5829364868991048,-1.453010886295874e-06,0.00014207775328499146,-0.0002265006411685275,-1.944726445853045e-05,4.9600582984490394e-05,-0.0005771689785657222
0.26,0.00017080042993216846,-0.10588515097396822,-0.008446746235824643,-0.13487892743522784,0.13290181817744068,-2.9905196650440993,0.0014179577689710356,-0.023872908990458734,-0.005631914006170524,-0.019460838018897836,0.04959163786629227,-0.5771717325888578,-0.00015761394577997378,8.837983294702918e-05,0.00013342848430915224,-8.08313608674758e-06,1.7191508377361298e-05,-0.0005988239946805623
0.28,0.00018267133792069373,-0.10543608920280784,-0.008369285857425246,-0.13410058076489073,0.13295476176741777,-2.9785534904368283,-0.0005935453994262284,-0.02245308855801925,-0.0038730189199698015,-0.008088569014198901,0.017206979652138618,-0.5988136555831064,1.1973971440030158e-07,-0.0001256684157374056,0.00016624179804930497,-2.2542221877823706e-05,-6.888101975790614e-06,-0.000589613395544716
0.3,0.00019436180723818308,-0.10496091720432638,-0.00833485917070409,-0.13259504753207452,0.13262641076633683,-2.9668292626360206,-0.0005845234658744421,-0.02375859992407416,-0.0017213343360571575,-0.022535320163586253,-0.006876596415950953,-0.5896177887293521,0.00014902560267702653,8.01785693390097e-05,-0.00010208459015316538,-2.5410965897564845e-05,3.5781270709230235e-05,-0.0005544579145949181
0.32,0.00016820562616100612,-0.1045120380364809,-0.008275043741136967,-0.13242197202877484,0.1320841624680861,-2.955717042103212,0.0013078090538588686,-0.02244395839227239,-0.0029907714783542943,-0.025409592757827,0.035760901297313734,-0.5544747036659018,9.830577536246431e-05,-1.4904635493866248e-05,1.3251432473592474e-05,-3.0388335104344746e-05,4.5740067349286825e-05,-0.0006083813112685514
0.34,0.0001175120142660191,-0.10406506607990051,-0.00821933707790845,-0.1324140861927198,0.13139810545860067,-2.9435127898048217,0.0025346805947494165,-0.022348597829018827,-0.002785333161428331,-0.030385957722152038,0.04573530223191001,-0.6083555705091257,-8.628498237124692e-05,-4.8182813517406563e-05,-0.00019135178487083524,-1.830420849390321e-05,1.0962662201033563e-05,-0.0005409750479521423
0.36,8.928697999414925e-05,-0.10361155888032164,-0.008115929040966696,-0.1315586015506936,0.13112993106760887,-2.9327167958388376,0.00141125171359355,-0.022675359978943398,-0.005170401847087582,-0.01830997760856569,0.010979266365187729,-0.5410072225945145,-5.515427104664805e-05,5.8550648420852575e-05,0.0002682079512908958,-1.773579877768013e-05,8.16150210016896e-06,-0.0005897252699498752
0.38,7.537124162016254e-05,-0.10317859930289985,-0.00808167711838037,-0.1305243830429076,0.13091258159959193,-2.9209555998651275,0.0006957869186993908,-0.021647978871088096,-0.0017125961293149227,-0.017736072951845604,0.008162847601124958,-0.589702006762069,0.00024529493530974357,-8.270164859904607e-05,-0.00010801159521192195,-2.2331157592477554e-05,2.1945331045449043e-05,-0.0005376042041499921
0.4,-4.20378384637099e-07,-0.10273019506973802,-0.0080205348968303,-0.12998655232014603,0.13048694751075346,-2.910206505877381,0.0037895810002399706,-0.02242021165809156,-0.003057111077504431,-0.022328963409360955,0.02193874981902049,-0.5376290811931465,-9.389720107641703e-05,-4.103042777468054e-05,-7.642089037913596e-05,-1.5487267422270352e-05,4.320923689118116e-06,-0.0005417882954124202
0.42,-5.150031887448184e-05,-0.10227708303797128,-0.007940833949725667,-0.12895302139259504,0.1303204421291235,-2.8994066242434164,0.0025539970244922794,-0.022655601588336315,-0.003985047355233012,-0.015490534377070497,0.004329336316886406,-0.5417863093602945,0.00016156504271726984,-0.0002628743404199102,-0.0003144428515563408,-1.267695340314139e-05,7.680514498601121e-05,-0.0005727563277271704
0.44,-0.00014280504635151917,-0.10176320323024451,-0.007782596955327792,-0.12996092788648533,0.1299985757699488,-2.8878407695676374,0.00456523637385179,-0.025693990386338676,-0.00791184971989476,-0.0126782969065484,0.07677053731103228,-0.5727415393398531,-0.00030772230478897874,0.00013668156518913962,3.291978280829289e-05,-3.5477512581013726e-05,1.5191161901031489e-05,-0.0005382337610667649
0.46,-0.0001551108604681689,-0.10129039932455014,-0.007634689078328316,-0.129176604593749,0.12922257220692968,-2.8771003408493323,0.0006152907058324473,-0.023640195284717336,-0.007395393849972183,-0.03546662580568378,0.015220566457513574,-0.538250238757689,-7.781602591137675e-05,3.926708298260251e-05,0.00011996340136787762,-4.0951865038917106e-05,1.868543890700008e-05,-0.0005674617245114645
0.48,-0.00014757602143831983,-0.10083350897918253,-0.007518998965975854,-0.1284138464994794,0.1282942690787503,-2.8657737334272375,-0.00037674195149237934,-0.022844517268381336,-0.005784505617620435,-0.04094924580113209,0.01868378440763295,-0.5674477758350277,9.914582402241214e-06,-0.0001889822180373268,-5.885914233379652e-05,5.508024220845949e-06,2.3659111810820824e-05,-0.0005458036536255534
0.5,-0.00014264456337576004,-0.10033459102752595,-0.007389882642197643,-0.12801991113043307,0.128665076382761,-2.8548421221320517,-0.00024657290312801803,-0.02494589758282949,-0.006455816188909259,0.0054858405690750706,0.023656736059285997,-0.5458139888361621,8.229796248948685e-05,-2.5589402607287815e-05,8.911953196234453e-05,-1.7375848131959095e-05,3.0196129644870004e-05,-0.0005668090781243673
0.52,-0.0001585942732764585,-0.09983551028936344,-0.007284943871882388,-0.1276764222934463,0.128364686398638,-2.843492281754,0.0007974854950349874,-0.024954036908126438,-0.005246938515761869,-0.01736493152534837,0.030193007041453425,-0.5667990528312442,0.00010320047141768388,-4.775912042400192e-05,-6.594566501134271e-05,-4.2674802789250344e-05,1.6349360739844326e-05,-0.0005077558187114933
0.54,-0.00020044871374253967,-0.09933066058324869,-0.0071646502355249275,-0.1269507048705979,0.1273700702525673,-2.833360950842786,0.0020927220233040054,-0.02524248530573761,-0.006014681817875022,-0.04266271715937543,0.016355971171939217,-0.5077840122438407,-0.00023221903111492236,7.54414572965354e-05,-0.00020741782407211583,-2.3284077507338807e-05,4.264590824431946e-05,-0.00054596547759637
0.56,-0.00018302965960629788,-0.09885128074387534,-0.006993407946999208,-0.12697701689638494,0.12683363288308228,-2.8224056952555854,-0.0008709527068120389,-0.023968991968667232,-0.00856211442628466,-0.02329333093513667,0.04263335462657962,-0.5459472456957206,-7.277409539736105e-05,5.582689167785356e-05,0.0002858655348515257,-1.0955256079078506e-05,6.268027258842066e-05,-0.0005329458325950359
0.58,-0.00014742137474186429,-0.098392086750134,-0.006896646581868282,-0.12764432308011125,0.1265475477261867,-2.8116630855653204,-0.0017804142432215964,-0.02295969968706767,-0.004838068256546571,-0.01096114759091294,0.06267070005333768,-0.5329520408552418,-4.325931374341147e-05,-2.1349093582614285e-05,7.328808393698918e-05,-2.280496345215514e-05,2.1569151207976424e-05,-0.0005321524010882924
0.6,-0.00010132023455666425,-0.09793330018901591,-0.006819648673132783,-0.12710128053215997,0.12611760492830623,-2.801023898670153,-0.0023050570092599536,-0.022939328055905307,-0.0038498954367755488,-0.022799307952239195,0.021588777467685567,-0.5321527829215366,-0.00019103949984588338,0.00012426779506946925,-2.738787140915386e-05,-4.77411847069653e-05,3.6896946427358915e-05,-0.00050719740516194
0.62,-7.475223955586557e-06,-0.09751175239420434,-0.006736696397971698,-0.1269153657305068,0.12490285343620812,-2.7908662053537507,-0.0046922505300538465,-0.021077389740577244,-0.004147613758055619,-0.04772927479688713,0.036889636676069384,-0.5072093215188368,0.00019647005789931492,-2.205660755181657e-05,-7.272595640097501e-05,3.4439510277492664e-05,4.073757230300071e-05,-0.000555547947469516
0.64,3.5482057612775536e-05,-0.09708995688812405,-0.006636395962027808,-0.12714303130108243,0.12598994710069694,-2.7796910469716467,-0.002147864078418069,-0.02108977530401391,-0.005015021797195879,0.03440027414257417,0.040735734888448706,-0.5555248654579241,-6.06263275150913e-05,-3.027871792868613e-05,-0.00014283204374426027,-2.3779451854549166e-05,1.3975697987972924e-05,-0.0005035810016285632
0.66,9.323254882786375e-05,-0.09666583686893776,-0.006501232159900394,-0.12643400899073828,0.125557990456014,-2.7696365215659298,-0.0028875245607543646,-0.021206000959314956,-0.0067581901063694175,-0.02375167065300557,0.013988476081470351,-0.5036058051649371,0.00022031592426996783,-0.00044438699219581055,0.00014299177266388342,-5.644619308890585e-05,4.66035354244916e-05,-0.000525334536091866
0.68,9.451959660790321e-05,-0.09613466538577703,-0.0064039503826685,-0.12641531852744903,0.12406708558688082,-2.7591045232199973,-6.435238900195537e-05,-0.02655857415803621,-0.004864088861592713,-0.05643058123956149,0.046587961519296346,-0.5253241604800386,8.452016216002113e-05,-5.440290447354245e-05,0.0003621223604222078,1.794557575762113e-05,1.1839393927351615e-06,-0.0005180458617666232
0.7,7.440942594109934e-05,-0.09559645016391966,-0.006399504620212437,-0.12555368410080353,0.12486511398829125,-2.74876218302795,0.00100550853334021,-0.02691076109286909,-0.00022228812280219133,0.017910060653825707,0.001205620111713629,-0.5180493372020947,-0.00012680386146261466,0.00011432331421344032,-0.00022320434939178578,1.1334879432695002e-05,5.5290310084080375e-06,-0.0005297198411117149
0.72,8.663100091281864e-05,-0.09509396271537374,-0.006338651418640429,-0.1247546435340398,0.12545928216939597,-2.7381825434262135,-0.000611078748585884,-0.025124372427296305,-0.0030426600786012245,0.01133801912494276,0.005526966551289714,-0.5297142683693948,9.171399830522857e-05,-2.2860545779529313e-05,4.784870111134402e-06,-3.679176039350688e-05,2.2145740312933696e-05,-0.0005445086765419421
0.74,7.549723888964147e-05,-0.09459204794367732,-0.006279778335939845,-0.12411552976189866,0.12464897253018188,-2.7273049476658,0.0005566881011589105,-0.02509573858482152,-0.0029436541350292486,-0.03676877810745903,0.02213780473923741,-0.5445016121148051,-7.977686144061092e-05,4.5563419713393513e-05,-1.1602897979608574e-05,-2.1847191071320135e-05,1.795864610146616e-05,-0.0005031172305974206
0.76,3.770903362653594e-05,-0.09413162788783119,-0.006241739004063884,-0.12352869487972185,0.12423844180641593,-2.717259216449991,0.0018894102631552467,-0.023021002792308447,-0.001901966593800131,-0.022103916398843022,0.018058947654805455,-0.5027285841751186,-9.76000056556953e-05,4.7255908171729524e-06,-8.823727567420218e-05,-3.412862956666708e-05,-1.3469207326168145e-06,-0.0005078894428052655
0.78,-0.0001208624421280835,-0.09375167308995797,-0.006253957375752961,-0.12234463978279325,0.12359342680910457,-2.707178601296862,0.00792857378773093,-0.018997739893663313,0.0006109185844564704,-0.03489748368138618,-0.0010103811814656484,-0.5066523218494386,-0.00037921172812922983,-0.00018941773301631756,-3.447147639143176e-07,-1.4669096705230556e-05,1.6767010438910923e-05,-0.0005564377551444915
0.8,-0.00026629367556300215,-0.09337106561721426,-0.006306459247144236,-0.12167410331737162,0.12340647095461907,-2.6960740477275857,0.007271561671745916,-0.019030373637185485,0.0026250935695649948,-0.015102610981232906,0.016935832741735705,-0.5557128864272363,-0.00012848591506611274,-3.5423043340257194e-05,-0.00031902015695031905,-8.171738197424636e-06,9.810812961894332e-06,-0.0005338973562585787
0.82,-0.0004289255870769254,-0.09301227050438005,-0.006303443078253923,-0.1208983716970233,0.1234263628395652,-2.6854214231984614,0.008131595575696066,-0.017939755641710166,-0.00015080844451461012,-0.008447059160814164,0.009945316327963407,-0.5334970264164637,-0.00020066269438545408,-0.00012741924283521673,-4.244354919513909e-06,-5.5871437841936644e-05,6.0431614545329546e-05,-0.0005224092559071021
0.84,-0.0005809639518881138,-0.0926470052595969,-0.006320067558930997,-0.12120395498948872,0.12184790469297445,-2.674932073234142,0.007601918240559577,-0.018263262239158147,0.0008312240338509277,-0.05606080556298888,0.06051100920309364,-0.5220878260070432,-0.00043306650010343205,2.8630657831437057e-06,-0.0001136110047400375,-1.4934974923733926e-05,1.454581076501913e-05,-0.0005100246217734738
0.86,-0.0007077471787778761,-0.09233035747195584,-0.0063494993164396885,-0.12056640647539377,0.1216426922763592,-2.664755236028376,0.006339161344488113,-0.01583238938205366,0.0014715878754362763,-0.015375776222422501,0.014782070253447266,-0.5093828622019999,-0.00013304438049135505,-0.00026351770966656483,2.4514128255937788e-05,-3.274095688792626e-05,6.194213852164684e-06,-0.0005058903173729049
0.88,-0.0008604033067844373,-0.0919866157765476,-0.0064019727064770215,-0.11959595397889504,0.12102529961056291,-2.6546814852171208,0.0076328064003281255,-0.017187084770412298,0.0026236695018624872,-0.032814526314292464,0.006160896301206368,-0.5055239352942626,-0.0001378783796404347,-0.00014839333559209998,-0.00023708828841424744,-9.879471701260295e-06,-1.1310176825033397e-05,-0.0005262268306058924
0.9,-0.0010340696757970905,-0.09164347335686635,-0.006411175620051224,-0.1182783503489729,0.12114002591969944,-2.644219064634241,0.008683318450632527,-0.017157120984062944,0.0004601456787058124,-0.00998126202201444,-0.01131678388497753,-0.5258854686005597,-0.00022720835076639294,-0.0003168729665860599,-4.705626028516023e-05,-2.4252871202860932e-05,4.2769771833740634e-05,-0.0005207927579862259
0.92,-0.0012192464115306813,-0.09126608396236613,-0.006429402452563293,-0.11830308688258336,0.1205091129054111,-2.633777791656315,0.009258836786679553,-0.018869469725010177,0.0009113416256037885,-0.024349411320808496,0.04272339210800882,-0.520404980549036,-0.000343188583452884,-1.570063192726103e-05,-0.0004317867248013274,3.9560134108947526e-05,7.988366027235599e-06,-0.0005152799698602674
0.94,-0.0014035169839916005,-0.0909408908955398,-0.0063672052063074025,-0.11785697190599372,0.12178646779772531,-2.623470538739464,0.009213528623045801,-0.0162596533413142,-0.0031098623127935087,0.039360793321254764,0.00803303812760656,-0.5148189907701599,-0.00012007776494042899,-0.00013783088322091714,-0.00022465198505796724,-1.3004822524741364e-05,4.1062395029336154e-05,-0.0005079006017798265
0.96,-0.0016012600291905807,-0.0906117008664113,-0.0062646654923314005,-0.11792555660182305,0.12144929338857836,-2.6132797622214303,0.009887152259949052,-0.016459501456425867,-0.005126985698799373,-0.013073360452647701,0.04107148792674804,-0.5076711497773903,-0.00031029218215231904,-5.172374167168626e-05,-4.0739923847591503e-05,-1.4162364677548792e-05,2.6218147341475557e-05,-0.0005107202801559572
0.98,-0.001781215966315683,-0.09031022588288506,-0.006174570972376947,-0.11759242694584272,0.12118526159904754,-2.6030614237201637,0.008997796856255125,-0.015073749176311735,-0.004504725997723045,-0.014286382843502936,0.026262996602964873,-0.5104163844899445,-0.00045473877667101244,-0.00019281312853215878,-5.143827002944854e-05,-2.774533095105763e-06,2.580298355999943e-05,-0.0004793987334298885
1.0,-0.0019458358613294313,-0.09002308531249642,-0.0061065302623877216,-0.11738521078221126,0.1211992823302391,-2.5934642418373786,0.008230994750687372,-0.014357028519432834,-0.003402035499462881,-0.002965241893321292,0.02585914785857856,-0.47895462396650734,-0.00020670880805762185,-0.00013650052962214165,-6.596063554440931e-05,-9.967535006143962e-06,5.8638278644473526e-05,-0.0005008909728171046
1.02,-0.002111291456884795,-0.08973717183626001,-0.006040924175852003,-0.11793437587032257,0.12080239230188103,-2.583380934605456,0.008272779777768071,-0.014295673811821409,-0.003280304326786576,-0.010060218526288066,0.058654157688593306,-0.5006456360968358,-0.00031792229066856,-0.0001994639970016944,-2.3480949480721306e-05,-3.711244419896829e-05,2.398577803954102e-05,-0.0004974121912136416
1.04,-0.0022701289986218065,-0.0894486968848211,-0.005994700363761818,-0.11739417513408766,0.11995690291634262,-2.573446404142369,0.007941877086850544,-0.014423747571945263,-0.0023111906045081418,-0.037219313203727865,0.02404071499972978,-0.4971119233744105,-5.503979903703012e-06,-0.00017064749191262455,7.22675290082513e-05,-2.573710075314737e-06,1.67718237116912e-05,-0.000461049242665637
1.06,-0.0024376589738136223,-0.08912776937121536,-0.00597112663241528,-0.11699024190588918,0.12003580451960295,-2.564222659676602,0.008376498759590862,-0.016046375680285843,-0.0011786865673292291,-0.0026071482090298153,0.016780154958680224,-0.46102154435483733,-0.00032861675239826907,-0.0002475797710656834,-6.069605467929415e-05,-2.5561778095248177e-05,-4.859888861490324e-06,-0.0004904492482457199
1.08,-0.0026035790281938136,-0.08879716274028804,-0.005958290295700608,-0.11580855972176154,0.11970250871467132,-2.554470303948428,0.008296002719009592,-0.016530331546365316,-0.0006418168357347875,-0.025658689147129463,-0.004818537091386205,-0.4901442018548617,-0.00048274848323898964,9.71543841023287e-05,-3.185002357145639e-05,-3.471536611200061e-05,6.015148085541265e-06,-0.000494026445760921
1.1,-0.0027296942943511003,-0.08854462701898591,-0.005962758013466463,-0.11483899990404138,0.11904251097378,-2.544636680747402,0.006305763307864403,-0.012626786065106588,0.00022338588829209243,-0.03512432493184871,0.006463598398024117,-0.49352777227841726,-0.0002148741869474105,-0.00036875811017731503,-0.00018029618251803333,-2.495157140295339e-05,1.3069000959102172e-05,-0.00046541733268476535
1.12,-0.0028820392945631858,-0.08825002942181098,-0.005946980426864701,-0.11417709512994796,0.11855923165376035,-2.5353544421105894,0.007617250010604286,-0.014729879858745656,-0.0007888793300891046,-0.025389232957170667,0.013554929469995057,-0.46495560029069716,-4.592009462288182e-05,-0.0001529425376110586,5.524994369768838e-05,-4.8267185927337745e-05,3.578109855295762e-05,-0.0004843882822378192
1.14,-0.0030427468996142744,-0.08793326377276911,-0.0059519282049764755,-0.11386657019614588,0.11732940130138905,-2.525663549731998,0.008035380252554368,-0.01583828245209228,0.00024738890558559606,-0.04836706023955063,0.035898110172428714,-0.48425774870206373,-0.00015580549582973428,0.00011559778309836054,-0.00038501626228002557,-1.513116074015912e-05,-3.1499632271813184e-07,-0.0004690274629083364
1.16,-0.0032064722954293773,-0.08767575824456264,-0.005874806286772283,-0.11294016873091733,0.11721328848048508,-2.5163214965193657,0.008186269790755062,-0.01287527641032165,-0.003856095910207959,-0.015381161233996228,-5.477744880945571e-05,-0.46876705766870574,-0.0004304459929968204,-0.00027458335566970957,9.517747406365183e-05,-9.54724983965281e-06,2.494128383301381e-05,-0.0004956356884944272
1.18,-0.0033597290893134305,-0.08741333602980766,-0.005856157893403102,-0.11264564380190782,0.11704588553173906,-2.5064135479721035,0.0076628396942025855,-0.013121110737749688,-0.0009324196684600394,-0.009883402296028776,0.025047463225040055,-0.4948370810487822,-0.0003037447474964814,-5.957077034499965e-05,-1.2309826920437729e-05,-5.571025824217167e-05,3.9027553364167135e-05,-0.0004681664022396072
