t,mode,capsule_x,capsule_y,capsule_z,capsule_qx,capsule_qy,capsule_qz,capsule_qw,target_x,target_y,target_z,target_qx,target_qy,target_qz,target_qw,error_x,error_y,error_z,error_norm,attitude_error_norm,force_norm,moment_norm,robot_update_mode,robot_theta_delta_norm
0.02,ilc_global_final,0.025,0.318,0.97,0.0,0.0,0.7071067811865475,0.7071067811865475,0.025,0.20600000000000002,0.96,0.0,0.06288437640583429,-0.7043050157453441,0.7071067811865475,0.0,-0.11199999999999999,-0.010000000000000009,0.11244554237496476,3.1376303563122856,0.001859258864727543,0.0008701589233625713,jacobian,0.0019595917942265427
0.04,ilc_global_final,0.025035204323828286,0.3176205472379739,0.9697243366674245,-0.00013946907340404557,0.003418584582593743,0.7014259549016365,0.7127341184608441,0.025,0.20600000000000002,0.96,0.0,0.06288437640583429,-0.7043050157453441,0.7071067811865475,-3.520432382828412e-05,-0.11162054723797388,-0.00972433666742456,0.11204334218805949,3.1212397309086155,0.001630455198814773,0.0008361930342789931,jacobian,0.0019595917942265427
0.06,ilc_global_final,0.025023585150599374,0.3168664411938753,0.9696070239022049,-0.00034043755966801996,0.005842766517099557,0.6956934781774277,0.7183149243911666,0.025,0.20600000000000002,0.96,0.0,0.06288437640583429,-0.7043050157453441,0.7071067811865475,-2.358515059937283e-05,-0.11086644119387529,-0.009607023902204914,0.1112819088958842,3.1049658729241085,0.0013793298571818163,0.0008380816824020669,jacobian,0.0019595917942265427
0.08,ilc_global_final,0.025007069668520857,0.31577409163123965,0.9695189882419237,-0.0006077616306366866,0.00832297175079369,0.689911735891968,0.7238453947118592,0.025,0.20600000000000002,0.96,0.0,0.06288437640583429,-0.7043050157453441,0.7071067811865475,-7.069668520855166e-06,-0.10977409163123963,-0.009518988241923765,0.11018603532478102,3.0886843307128493,0.00019171829414728185,0.0008330466466305258,jacobian,0.0019595917942265427
0.1,ilc_global_final,0.024991505141395854,0.314648257391603,0.9694427511693937,-0.000969904530904396,0.010610684649062119,0.6840822314727487,0.7293270687693851,0.025,0.20600000000000002,0.96,0.0,0.06288437640583429,-0.7043050157453441,0.7071067811865475,8.494858604147365e-06,-0.108648257391603,-0.009442751169393748,0.10905782620262393,3.072425235645531,4.1713066463865795e-05,0.0008323138670719418,jacobian,0.0019595917942265427
0.12,ilc_global_final,0.024974958419553238,0.3135261893306769,0.9693669735052545,-0.001407783518285347,0.012854290650580429,0.6782049429529079,0.7347590358149252,0.025,0.20600000000000002,0.96,0.0,0.06288437640583429,-0.7043050157453441,0.7071067811865475,2.5041580446763523e-05,-0.10752618933067687,-0.009366973505254506,0.10793341563994656,3.0561701083266217,2.271221269061575e-05,0.0008309819486762506,jacobian,0.0019595917942265427
0.14,ilc_global_final,0.024957359543320318,0.31241346565941025,0.9692893407550893,-0.0019258507049065726,0.01502535464346469,0.6722804627159339,0.7401415467782835,0.025,0.20600000000000002,0.96,0.0,0.06288437640583429,-0.7043050157453441,0.7071067811865475,4.264045667968369e-05,-0.10641346565941023,-0.00928934075508936,0.10681816017662535,3.039921939215773,2.1301180763518715e-05,0.0008298719866239979,jacobian,0.0019595917942265427
0.16,ilc_global_final,0.02493879015131596,0.311310677110883,0.9692094525412733,-0.002514949167905849,0.017129359856469052,0.6663093106047738,0.7454744547353592,0.025,0.20600000000000002,0.96,0.0,0.06288437640583429,-0.7043050157453441,0.7071067811865475,6.120984868404275e-05,-0.10531067711088299,-0.009209452541273366,0.10571261266428049,3.0236799140365664,1.9846398542670423e-05,0.0008287700238405682,jacobian,0.0019595917942265427
0.18,ilc_global_final,0.024919495571932463,0.31021805774996847,0.9691274124552002,-0.0031698394059399585,0.019163156729598355,0.6602920370103046,0.7507577181774954,0.025,0.20600000000000002,0.96,0.0,0.06288437640583429,-0.7043050157453441,0.7071067811865475,8.050442806753835e-05,-0.10421805774996845,-0.009127412455200212,0.10461701439185712,3.007444201933457,1.858245734707274e-05,0.0008277122794791304,jacobian,0.0019595917942265427
0.2,ilc_global_final,0.02489972393985804,0.30913574115147524,0.9690433757503502,-0.0038842862993422457,0.021125862179820057,0.6542292001688044,0.755991245923913,0.025,0.20600000000000002,0.96,0.0,0.06288437640583429,-0.7043050157453441,0.7071067811865475,0.0001002760601419607,-0.10313574115147522,-0.009043375750350191,0.10353151116019875,2.991214771054144,1.7315527196104398e-05,0.000826688717296258,jacobian,0.0019595917942265427
0.22,ilc_global_final,0.024879714019231586,0.308063853626153,0.9689575179985565,-0.004652434981258059,0.02301656175918557,0.6481213658742707,0.7611749390454209,0.025,0.20600000000000002,0.96,0.0,0.06288437640583429,-0.7043050157453441,0.7071067811865475,0.00012028598076841562,-0.102063853626153,-0.008957517998556486,0.10245624341362716,2.9749916181795135,1.6110909882540372e-05,0.0008256985895152606,jacobian,0.0019595917942265427
0.24,ilc_global_final,0.024859688276654367,0.30700250874398916,0.9688700172361359,-0.005468505940513533,0.02483478521625723,0.641969107022951,0.7663086809597003,0.025,0.20600000000000002,0.96,0.0,0.06288437640583429,-0.7043050157453441,0.7071067811865475,0.000140311723345634,-0.10100250874398914,-0.008870017236135896,0.10139133920473019,2.9587747222304266,1.4964684627355524e-05,0.0008247397207297427,jacobian,0.0019595917942265427
0.26,ilc_global_final,0.024839852489157616,0.30595180937115224,0.9687810532400696,-0.0063268923157868105,0.026580382602693797,0.6357730022856601,0.7713923406794992,0.025,0.20600000000000002,0.96,0.0,0.06288437640583429,-0.7043050157453441,0.7071067811865475,0.00016014751084238513,-0.09995180937115222,-0.008781053240069614,0.10033691613657118,2.9425640534249946,1.3882679031779264e-05,0.0008238103491859585,jacobian,0.0019595917942265427
0.28,ilc_global_final,0.024820395799294674,0.30491184709875885,0.968690805942784,-0.007222160363101577,0.028253519981107495,0.6295336352887149,0.7764257730450104,0.025,0.20600000000000002,0.96,0.0,0.06288437640583429,-0.7043050157453441,0.7071067811865475,0.00017960420070532723,-0.09891184709875883,-0.008690805942784041,0.09929308063552207,2.9263595723449964,1.2867316688444243e-05,0.0008229088420142979,jacobian,0.0019595917942265427
0.3,ilc_global_final,0.024801491023890135,0.3038827022339421,0.9685994545716075,-0.008149068245695314,0.029854651822211555,0.6232515936543332,0.7814088196703664,0.025,0.20600000000000002,0.96,0.0,0.06288437640583429,-0.7043050157453441,0.7071067811865475,0.00019850897610986656,-0.09788270223394208,-0.00859945457160749,0.09825992785139477,2.910161230723747,1.1921243237133246e-05,0.0008220337363555073,jacobian,0.0019595917942265427
0.32,ilc_global_final,0.024783295041090014,0.30286444377954236,0.9685071767851235,-0.009102578007844298,0.03138449781281832,0.6169274681199034,0.7863413097693733,0.025,0.20600000000000002,0.96,0.0,0.06288437640583429,-0.7043050157453441,0.7071067811865475,0.00021670495890998773,-0.09686444377954234,-0.008507176785123582,0.09723754154961284,2.893968971953813,1.1046755119695357e-05,0.0008211837343971176,jacobian,0.0019595917942265427
0.34,ilc_global_final,0.024765949232846224,0.3018571294960788,0.9684141479092909,-0.010077866205199345,0.032844019253631895,0.6105618516765533,0.7912230610196566,0.025,0.20600000000000002,0.96,0.0,0.06288437640583429,-0.7043050157453441,0.7071067811865475,0.00023405076715377754,-0.09585712949607877,-0.008414147909290959,0.09622599409738018,2.877782731613548,1.0245887132849595e-05,0.000820357698165969,jacobian,0.0019595917942265427
0.36,ilc_global_final,0.02474957997387238,0.3008608060201748,0.9683205402436579,-0.011070332226885046,0.034234396008168744,0.6041553387471926,0.796053880423685,0.025,0.20600000000000002,0.96,0.0,0.06288437640583429,-0.7043050157453441,0.7071067811865475,0.0002504200261276221,-0.09486080602017477,-0.008320540243657915,0.09522534651516393,2.8616024379792675,9.52030629436331e-06,0.0008195546420995226,jacobian,0.0019595917942265427
0.38,ilc_global_final,0.024734299159171753,0.29987550903622884,0.9682265224402261,-0.012075604652015614,0.035557004003157464,0.5977085244032553,0.8008335651646292,0.025,0.20600000000000002,0.96,0.0,0.06288437640583429,-0.7043050157453441,0.7071067811865475,0.00026570084082824796,-0.09387550903622882,-0.008226522440226147,0.09423564859015637,2.845428012525484,8.871180101130937e-06,0.0008187737231431311,jacobian,0.0019595917942265427
0.4,ilc_global_final,0.024814279629629073,0.29895967911615945,0.968099208677075,-0.013086966600304333,0.03681262127966627,0.5912301943860981,0.8055559691702983,0.025,0.20600000000000002,0.96,0.0,0.06288437640583429,-0.7043050157453441,0.7071067811865475,0.0001857203703709287,-0.09295967911615943,-0.008099208677075032,0.0933120228836033,2.8292796441514705,0.0003949304478472042,0.0008181412883539178,jacobian,0.0019595917942265427
0.42,ilc_global_final,0.025145091667042808,0.2982109911475571,0.9678823089902255,-0.014089076270700123,0.03802069273155843,0.5847327899462468,0.8102120026361797,0.025,0.20600000000000002,0.96,0.0,0.06288437640583429,-0.7043050157453441,0.7071067811865475,-0.00014509166704280638,-0.0922109911475571,-0.007882308990225573,0.09254738643000185,2.8131846901623114,0.0014560466451050324,0.0008176932701002812,jacobian,0.0019595917942265427
0.44,ilc_global_final,0.025482782529812783,0.29747915402925634,0.967673113567009,-0.015076643958791096,0.039212492381122344,0.5781939016322301,0.8148170882863826,0.025,0.20600000000000002,0.96,0.0,0.06288437640583429,-0.7043050157453441,0.7071067811865475,-0.0004827825298127815,-0.09147915402925633,-0.00767311356700906,0.0918016632348876,2.7970841436271567,0.001487156419738961,0.0008168886586912964,jacobian,0.0019595917942265427
0.46,ilc_global_final,0.025846516555009576,0.29676545768770585,0.9675826071337251,-0.016077625372016267,0.04033899547523251,0.5716121089249304,0.8193740735078445,0.025,0.20600000000000002,0.96,0.0,0.06288437640583429,-0.7043050157453441,0.7071067811865475,-0.000846516555009575,-0.09076545768770583,-0.007582607133725161,0.0910855687278783,2.780977076205303,0.001518799617542209,0.0008160907791320135,jacobian,0.0019595917942265427
0.48,ilc_global_final,0.02622632513885627,0.2961021307173941,0.9674524168041382,-0.017074870001393613,0.04138595056301967,0.5650041635027486,0.8238725308777984,0.025,0.20600000000000002,0.96,0.0,0.06288437640583429,-0.7043050157453441,0.7071067811865475,-0.001226325138856267,-0.09010213071739409,-0.007452416804138218,0.09041811958552978,2.7649032709608985,0.0016592768093953874,0.0008155774067952354,jacobian,0.0019595917942265427
0.5,ilc_global_final,0.026607787297120312,0.2954535972848885,0.9673169768424794,-0.018066340599094968,0.04239060554110385,0.5583585765523635,0.8283189867977392,0.025,0.20600000000000002,0.96,0.0,0.06288437640583429,-0.7043050157453441,0.7071067811865475,-0.0016077872971203104,-0.0894535972848885,-0.00731697684247945,0.08976674884005309,2.7488311497189186,0.0016856361862065698,0.0008148670300484151,jacobian,0.0019595917942265427
0.52,ilc_global_final,0.026984017211853045,0.2948124179732375,0.9671825419085489,-0.019050382299313905,0.04333322728685412,0.5516755000300618,0.8327145111103419,0.025,0.20600000000000002,0.96,0.0,0.06288437640583429,-0.7043050157453441,0.7071067811865475,-0.001984017211853043,-0.08881241797323747,-0.007182541908548945,0.08912446812642433,2.732760888008996,0.0016765282443307063,0.0008141988336772397,jacobian,0.0019595917942265427
0.54,ilc_global_final,0.027355076027926483,0.294178069220519,0.9670500693772287,-0.020023580160090905,0.044218814000689784,0.5449555663193797,0.8370586499543909,0.025,0.20600000000000002,0.96,0.0,0.06288437640583429,-0.7043050157453441,0.7071067811865475,-0.0023550760279264817,-0.08817806922051896,-0.00705006937722874,0.08849080038500999,2.7166923796093094,0.001665918801546493,0.0008135478852685316,jacobian,0.0019595917942265427
0.56,ilc_global_final,0.027720982192734115,0.29355045061808444,0.9669197774148157,-0.02098344358196012,0.04504887721380169,0.5381993336992281,0.8413511579375904,0.025,0.20600000000000002,0.96,0.0,0.06288437640583429,-0.7043050157453441,0.7071067811865475,-0.0027209821927341137,-0.08755045061808442,-0.006919777414815753,0.08786562733511558,2.700625560287501,0.0016549266402495788,0.0008129191054980625,jacobian,0.0019595917942265427
0.58,ilc_global_final,0.0280817859479756,0.2929295230860551,0.9667917406857847,-0.021927469265358577,0.04582596396689428,0.5314073661771198,0.8455917326291789,0.025,0.20600000000000002,0.96,0.0,0.06288437640583429,-0.7043050157453441,0.7071067811865475,-0.0030817859479755974,-0.08692952308605506,-0.006791740685784697,0.08724888039477105,2.6845603252150374,0.001643835637416171,0.0008123115070371894,jacobian,0.0019595917942265427
